"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 09, 2020","14.24","14.24","14.24","14.24","-","-6.07%"
"Dec 08, 2020","15.16","15.16","15.16","15.16","-","-1.75%"
"Dec 07, 2020","15.43","15.43","15.43","15.43","-","2.66%"
"Dec 04, 2020","15.03","15.03","15.03","15.03","-","-1.31%"
"Dec 03, 2020","15.23","15.23","15.23","15.23","-","-4.27%"
"Dec 02, 2020","15.91","15.91","15.91","15.91","-","-0.13%"
"Dec 01, 2020","15.93","15.93","15.93","15.93","-","0.38%"
"Nov 30, 2020","15.87","15.87","15.87","15.87","-","2.85%"
"Nov 27, 2020","15.43","15.43","15.43","15.43","-","3.91%"
"Nov 26, 2020","14.85","14.85","14.85","14.85","-","-0.80%"
"Nov 25, 2020","14.97","14.97","14.97","14.97","-","-0.13%"
"Nov 24, 2020","14.99","14.99","14.99","14.99","-","0.00%"
"Nov 23, 2020","14.99","14.99","14.99","14.99","-","0.13%"
"Nov 20, 2020","14.97","14.97","14.97","14.97","-","1.49%"
"Nov 19, 2020","14.75","14.75","14.75","14.75","-","-0.07%"
"Nov 18, 2020","14.76","14.76","14.76","14.76","-","0.07%"
"Nov 17, 2020","14.75","14.75","14.75","14.75","-","0.00%"
"Nov 16, 2020","14.75","14.75","14.75","14.75","-","0.00%"
"Nov 13, 2020","14.75","14.75","14.75","14.75","-","0.34%"
"Nov 12, 2020","14.70","14.70","14.70","14.70","-","-0.14%"
"Nov 11, 2020","14.72","14.72","14.72","14.72","-","0.55%"
"Nov 10, 2020","14.64","14.64","14.64","14.64","-","0.14%"
"Nov 09, 2020","14.62","14.62","14.62","14.62","-","-0.61%"
"Nov 06, 2020","14.71","14.71","14.71","14.71","-","-0.27%"
"Nov 05, 2020","14.75","14.75","14.75","14.75","-","0.00%"
