"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2021","1,624.97","1,608.69","1,629.73","1,607.70","2.29B","0.73%"
"Mar 03, 2021","1,613.27","1,624.97","1,642.01","1,611.99","2.78B","-0.09%"
"Mar 02, 2021","1,614.77","1,605.32","1,622.69","1,597.93","3.26B","0.36%"
"Mar 01, 2021","1,608.97","1,575.77","1,608.97","1,573.77","2.29B","3.41%"
"Feb 26, 2021","1,555.96","1,546.67","1,563.07","1,533.73","2.58B","-1.15%"
"Feb 25, 2021","1,574.08","1,583.88","1,587.28","1,547.59","2.92B","1.02%"
"Feb 24, 2021","1,558.13","1,581.35","1,598.86","1,558.13","2.91B","-1.96%"
"Feb 23, 2021","1,589.33","1,613.28","1,617.85","1,584.43","3.45B","-0.98%"
"Feb 22, 2021","1,605.01","1,625.28","1,628.48","1,602.52","2.47B","-1.06%"
"Feb 19, 2021","1,622.25","1,605.63","1,623.53","1,599.80","2.53B","1.02%"
"Feb 18, 2021","1,605.92","1,617.96","1,629.20","1,605.14","2.93B","-0.33%"
"Feb 17, 2021","1,611.26","1,628.79","1,631.87","1,601.76","2.86B","-0.68%"
"Feb 16, 2021","1,622.32","1,656.17","1,662.64","1,607.05","3.26B","-1.71%"
"Feb 15, 2021","1,650.62","1,641.30","1,656.16","1,636.79","1.64B","1.37%"
"Feb 12, 2021","1,628.35","1,635.23","1,641.50","1,619.20","1.76B","-0.73%"
"Feb 11, 2021","1,640.26","1,646.51","1,652.01","1,638.10","2.08B","-0.37%"
"Feb 10, 2021","1,646.42","1,652.96","1,656.49","1,632.67","2.37B","0.20%"
"Feb 09, 2021","1,643.12","1,627.81","1,651.25","1,624.59","3.66B","1.10%"
"Feb 08, 2021","1,625.32","1,629.61","1,631.74","1,607.28","3.97B","0.52%"
"Feb 05, 2021","1,616.90","1,638.11","1,644.10","1,616.90","2.20B","-0.67%"
"Feb 04, 2021","1,627.73","1,632.25","1,639.82","1,625.77","2.44B","-0.07%"
"Feb 03, 2021","1,628.91","1,610.61","1,628.91","1,601.27","3.12B","1.63%"
"Feb 02, 2021","1,602.81","1,596.19","1,608.12","1,591.67","2.86B","1.15%"
"Feb 01, 2021","1,584.51","1,583.70","1,594.20","1,568.84","1.90B","0.77%"
"Jan 29, 2021","1,572.37","1,586.67","1,594.46","1,568.82","2.89B","-1.84%"
"Jan 28, 2021","1,601.87","1,562.37","1,601.87","1,545.49","3.64B","1.69%"
"Jan 27, 2021","1,575.22","1,635.35","1,640.82","1,575.22","3.10B","-3.77%"
"Jan 26, 2021","1,636.91","1,632.85","1,649.31","1,612.88","3.03B","-0.01%"
"Jan 25, 2021","1,637.14","1,663.44","1,667.10","1,635.74","2.37B","-0.82%"
"Jan 22, 2021","1,650.65","1,664.38","1,668.57","1,634.34","2.63B","-0.90%"
"Jan 21, 2021","1,665.61","1,698.81","1,703.82","1,665.61","3.16B","-1.51%"
"Jan 20, 2021","1,691.19","1,697.76","1,698.64","1,667.25","2.79B","0.06%"
"Jan 19, 2021","1,690.14","1,694.27","1,704.27","1,684.93","3.20B","0.44%"
"Jan 18, 2021","1,682.67","1,654.02","1,685.16","1,633.41","2.84B","1.74%"
"Jan 15, 2021","1,653.84","1,668.99","1,679.35","1,645.61","3.16B","-1.62%"
"Jan 14, 2021","1,681.04","1,705.79","1,705.82","1,675.39","2.71B","-0.97%"
"Jan 13, 2021","1,697.58","1,697.16","1,702.44","1,678.20","3.16B","0.64%"
"Jan 12, 2021","1,686.84","1,690.40","1,695.00","1,677.53","3.31B","0.47%"
"Jan 11, 2021","1,679.00","1,693.25","1,705.48","1,663.31","2.87B","-0.91%"
"Jan 08, 2021","1,694.43","1,680.86","1,696.63","1,674.94","3.48B","0.97%"
"Jan 07, 2021","1,678.15","1,664.69","1,679.24","1,657.98","3.94B","1.24%"
"Jan 06, 2021","1,657.67","1,653.63","1,659.67","1,645.40","3.11B","1.05%"
"Jan 05, 2021","1,640.39","1,648.61","1,662.11","1,623.93","4.31B","-0.76%"
"Jan 04, 2021","1,652.90","1,641.81","1,662.99","1,636.20","2.79B","1.03%"
"Dec 31, 2020","1,635.97","1,642.84","1,648.25","1,629.58","1.89B","-0.40%"
"Dec 30, 2020","1,642.49","1,618.22","1,645.32","1,618.22","2.83B","1.72%"
"Dec 29, 2020","1,614.70","1,588.86","1,614.87","1,582.04","1.86B","1.81%"
"Dec 28, 2020","1,585.93","1,581.03","1,591.53","1,581.03","1.43B","0.66%"
"Dec 25, 2020","1,575.50","1,579.01","1,588.70","1,572.27","1.44B","-0.01%"
"Dec 24, 2020","1,575.68","1,569.27","1,583.12","1,564.06","2.92B","0.59%"
"Dec 23, 2020","1,566.40","1,557.12","1,569.69","1,557.12","2.62B","0.82%"
"Dec 22, 2020","1,553.71","1,538.77","1,560.37","1,536.19","2.75B","1.65%"
"Dec 21, 2020","1,528.48","1,552.44","1,552.44","1,510.18","3.43B","-2.04%"
"Dec 18, 2020","1,560.35","1,547.85","1,562.86","1,544.13","2.89B","0.60%"
"Dec 17, 2020","1,551.12","1,556.56","1,560.34","1,543.70","2.28B","0.44%"
"Dec 16, 2020","1,544.33","1,557.25","1,563.67","1,538.26","3.16B","-0.17%"
"Dec 15, 2020","1,546.98","1,545.24","1,552.93","1,535.17","3.36B","0.43%"
